paper_id,source,mode,total_extracted,judge_n_correct,judge_n_hallucinated,judge_accuracy,judge_accuracy_adjusted,mean_unanimous_rate,mean_unanimous_category_rate
PXD042574,human_annotation,inference,17,17,0,1.0,1.0,0.9411764705882353,0.9411764705882353
PXD042574,human_annotation,strict,17,16,0,0.9411764705882353,0.9411764705882353,1.0,1.0
PXD043392,hamlet_harmonized,inference,15,8,1,0.5333333333333333,0.5333333333333333,0.9333333333333333,0.7333333333333333
PXD043392,hamlet_harmonized,strict,15,8,1,0.5333333333333333,0.5333333333333333,0.8,0.7333333333333333
PXD043392,hamlet_raw,inference,10,9,1,0.9,0.9,0.9,0.7
PXD043392,hamlet_raw,strict,10,9,1,0.9,0.9,0.7,0.7
PXD043392,human_annotation,inference,11,3,7,0.2727272727272727,0.2727272727272727,0.8181818181818182,0.8181818181818182
PXD043392,human_annotation,strict,11,3,7,0.2727272727272727,0.2727272727272727,1.0,0.9090909090909091
PXD060381,hamlet_harmonized,inference,23,23,0,1.0,1.0,1.0,0.9130434782608695
PXD060381,hamlet_harmonized,strict,23,23,0,1.0,1.0,0.9565217391304348,0.9130434782608695
PXD060381,hamlet_raw,inference,23,23,0,1.0,1.0,1.0,0.9130434782608695
PXD060381,hamlet_raw,strict,23,23,0,1.0,1.0,0.9565217391304348,0.9130434782608695
PXD060381,human_annotation,inference,15,12,0,0.8,0.8,0.9333333333333333,0.9333333333333333
PXD060381,human_annotation,strict,15,11,0,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.7333333333333333
