pxd,in_pride_cache,experimentTypes,projectTags,experimentTypes_projectTags_combined,experimentTypes_present,projectTags_present,experiment_or_tag_present
PXD056757,yes,Data-dependent acquisition (PRIDE:0000627),,Data-dependent acquisition (PRIDE:0000627),yes,no,yes
PXD056970,yes,Gel-based experiment (PRIDE:0000305) | Bottom-up proteomics (PRIDE:0000428) | Data-dependent acquisition (PRIDE:0000627),,Gel-based experiment (PRIDE:0000305) | Bottom-up proteomics (PRIDE:0000428) | Data-dependent acquisition (PRIDE:0000627),yes,no,yes
PXD057808,yes,Bottom-up proteomics (PRIDE:0000428),,Bottom-up proteomics (PRIDE:0000428),yes,no,yes
PXD057905,yes,Bottom-up proteomics (PRIDE:0000428) | Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433) | Data-dependent acquisition (PRIDE:0000627),,Bottom-up proteomics (PRIDE:0000428) | Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433) | Data-dependent acquisition (PRIDE:0000627),yes,no,yes
PXD058005,yes,Bottom-up proteomics (PRIDE:0000428),,Bottom-up proteomics (PRIDE:0000428),yes,no,yes
PXD058432,yes,Data-dependent acquisition (PRIDE:0000627),,Data-dependent acquisition (PRIDE:0000627),yes,no,yes
PXD059345,yes,Data-dependent acquisition (PRIDE:0000627),,Data-dependent acquisition (PRIDE:0000627),yes,no,yes
PXD060056,yes,Top-down proteomics (PRIDE:0000427),,Top-down proteomics (PRIDE:0000427),yes,no,yes
PXD060120,yes,Bottom-up proteomics (PRIDE:0000428),,Bottom-up proteomics (PRIDE:0000428),yes,no,yes
PXD060323,yes,Bottom-up proteomics (PRIDE:0000428) | Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433) | Data-dependent acquisition (PRIDE:0000627),,Bottom-up proteomics (PRIDE:0000428) | Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433) | Data-dependent acquisition (PRIDE:0000627),yes,no,yes
PXD060873,yes,Bottom-up proteomics (PRIDE:0000428),,Bottom-up proteomics (PRIDE:0000428),yes,no,yes
PXD060878,yes,Data-independent acquisition (PRIDE:0000450),,Data-independent acquisition (PRIDE:0000450),yes,no,yes
PXD061454,yes,Data-dependent acquisition (PRIDE:0000627),,Data-dependent acquisition (PRIDE:0000627),yes,no,yes
PXD061760,yes,Data-dependent acquisition (PRIDE:0000627),,Data-dependent acquisition (PRIDE:0000627),yes,no,yes
PXD063163,yes,Bottom-up proteomics (PRIDE:0000428),,Bottom-up proteomics (PRIDE:0000428),yes,no,yes
PXD064331,yes,Glycoproteomics (PRIDE:0000665),,Glycoproteomics (PRIDE:0000665),yes,no,yes
