pxd,in_pride_cache,instruments_raw,instruments_text,instruments_present
PXD058005,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos'}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD058432,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1003029', 'name': 'Orbitrap Eclipse'}]",Orbitrap Eclipse (MS:1003029),yes
PXD059345,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002416', 'name': 'Orbitrap Fusion', 'value': ''}]",Orbitrap Fusion (MS:1002416),yes
PXD060056,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF', 'value': ''}]",Q Exactive HF (MS:1002523),yes
PXD060120,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD060323,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos'}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD060873,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos', 'value': ''}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD060878,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002416', 'name': 'Orbitrap Fusion'}]",Orbitrap Fusion (MS:1002416),yes
PXD061454,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD061760,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD063163,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD064331,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002416', 'name': 'Orbitrap Fusion', 'value': ''}]",Orbitrap Fusion (MS:1002416),yes
