accession,pubmed_id,pmc_id,raw_file_count,organism,taxids,experiment_types,pub_license,Reannotated,Reannotation_QC
PXD001400,28698516.0,PMC5620533,0,Arabidopsis thaliana (mouse-ear cress),3702,Shotgun proteomics; MSE,CC BY,False,False
PXD006239,28904344.0,PMC5597582,8,Aedes aegypti; Wolbachia pipientis wmelcs,7159; 1379791,Shotgun proteomics,CC BY,False,False
PXD006246,28351835.0,PMC5450317,3,Drosophila melanogaster (fruit fly),7227,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY,False,False
PXD006241,29338754.0,PMC5771139,0,Octopus vulgaris,6645,Gel-based experiment,CC BY,False,False
PXD014718,31443184.0,PMC6723090,145,Homo sapiens (human); Sus scrofa domesticus (domestic pig),9606; 9825,Shotgun proteomics; Gel-based experiment; Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD007577,29089522.0,PMC5663739,6,Mus musculus (mouse),10090,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD014709,32161259.0,PMC7066181,18,Homo sapiens (human),9606,Gel-based experiment,CC BY,False,False
PXD002731,26453029.0,PMC4600298,48,Cryptococcus neoformans var. grubii h99w,1432138,Shotgun proteomics,CC BY,False,False
PXD002725,30116025.0,PMC6173697,0,Homo sapiens (human),9606,SWATH MS,CC BY,False,False
PXD014701,31611848.0,PMC6775490,0,Exiguobacterium sp. sh31,1843183,mass spectrometry imaging; Gel-based experiment,CC BY,False,False
PXD001410,25535246.0,PMC4339124,15,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD002732,27025787.0,PMC4812243,0,Homo sapiens (human),9606,SWATH MS,CC BY,False,False
PXD014739,31615119.0,PMC6829310,114,Arabidopsis thaliana (mouse-ear cress),3702,Shotgun proteomics,CC BY,False,False
PXD002736,29038488.0,PMC5643318,12,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD013403,31123065.0,PMC6601507,7,Drosophila melanogaster (fruit fly),7227,Affinity purification coupled with mass spectrometry proteomics,CC BY-NC,False,False
PXD013404,31123065.0,PMC6601507,6,Drosophila melanogaster (fruit fly),7227,Affinity purification coupled with mass spectrometry proteomics,CC BY-NC,False,False
PXD001407,25973932.0,PMC4431810,0,Saccharomyces cerevisiae (baker's yeast),4932,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD013405,31123065.0,PMC6601507,9,Drosophila melanogaster (fruit fly),7227,Affinity purification coupled with mass spectrometry proteomics,CC BY-NC,False,False
PXD014735,31597577.0,PMC6784334,1,Acanthamoeba castellanii,5755,Shotgun proteomics,CC BY,False,False
PXD001414,25464976.0,PMC4269173,0,Solanum lycopersicum,4081,SWATH MS,CC BY,False,False
PXD013411,31293555.0,PMC6603209,11,Synechocystis sp. pcc 6803,1148,Shotgun proteomics,CC BY,False,False
PXD002758,26442052.0,PMC4569977,6,Strawberry leafy fruit phytoplasma,129249,Shotgun proteomics,CC BY,False,False
PXD001427,25586196.0,PMC4309443,60,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD002757,28117336.0,PMC5259771,0,Homo sapiens (human),9606,Gel-based experiment,CC BY,False,False
PXD006291,29500430.0,PMC5834625,618,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD006293,28566324.0,PMC5496626,12,Homo sapiens (human),9606,Shotgun proteomics,CC BY-NC-SA,False,False
PXD006294,28586477.0,PMC5853561,0,Arabidopsis thaliana (mouse-ear cress),3702,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD013400,31375683.0,PMC6677890,7,Arabidopsis thaliana (mouse-ear cress),3702,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD002704,27281782.0,PMC5054350,54,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD002705,27275780.0,PMC4898720,2,Escherichia coli,562,Top-down proteomics,CC BY,False,False
PXD014557,31699905.0,PMC6944231,40,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD015890,31405957.0,PMC6803327,157,Chlamydia trachomatis; Homo sapiens (human),813; 9606,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD003898,27197221.0,PMC4937558,22,Pachysolen tannophilus nrrl y-2460,669874,Gel-based experiment,CC BY-NC,False,False
PXD013227,31234367.0,PMC6627572,56,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD002570,26486420.0,PMC4762619,0,Fasciola hepatica (liver fluke),6192,Shotgun proteomics,CC BY,False,False
PXD002720,26833789.0,PMC4739608,9,Homo sapiens (human),9606,Shotgun proteomics,CC BY-NC-SA,False,False
PXD002573,26845436.0,PMC4741518,4,Pseudomonas fluorescens (strain sbw25),216595,Shotgun proteomics,CC BY,False,False
PXD013231,30948622.0,PMC6553938,1590,Homo sapiens (human),9606,SWATH MS; Shotgun proteomics,CC BY,False,False
PXD013234,31064135.0,PMC6631625,54,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD001239,25210768.0,PMC4161446,4,Saccharomyces cerevisiae (baker's yeast),4932,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD013232,31406020.0,PMC6768651,21,Rattus norvegicus (rat); Homo sapiens (human),10116; 9606,SRM/MRM,CC BY,False,False
